
UBV CCD observations


  No    Ref    V       B-V     U-B
 0727   562  18.760   1.159         
 0728   562  18.772   1.541         
 0729   562  18.775   1.579         
 0730   562  18.776   1.270         
 0731   562  18.776   1.346         
 0732   562  18.778   1.292         
 0733   562  18.779   1.099         
 0734   562  18.780   1.241         
 0735   562  18.781   1.288         
 0736   562  18.785   1.260         
 0737   562  18.785   1.291         
 0738   562  18.786   1.152         
 0739   562  18.789   1.915         
 0741   562  18.793   1.593         
 0742   562  18.795   1.701         
 0743   562  18.795   1.164         
 0745   562  18.804   1.269         
 0746   562  18.806   1.456         
 0747   562  18.806   1.285         
 0748   562  18.811   1.598         
 0749   562  18.812   1.307         
 0750   562  18.814   1.513         
 0751   562  18.815   1.167         
 0752   562  18.815   1.194         
 0753   562  18.817   1.506         
 0754   562  18.825   1.123         
 0755   562  18.827   1.319         
 0756   562  18.830   1.313         
 0757   562  18.840   1.481         
 0758   562  18.841   1.050         
 0760   562  18.846   1.520         
 0761   562  18.847   1.404         
 0762   562  18.851   2.158         
 0763   562  18.851   1.223         
 0764   562  18.851   1.195         
 0765   562  18.855   1.820         
 0766   562  18.856   1.535         
 0767   562  18.858   1.270         
 0768   562  18.862   1.082         
 0769   562  18.867   2.632         
 0770   562  18.871   1.141         
 0772   562  18.876   1.468         
 0773   562  18.877   2.105         
 0775   562  18.879   2.001         
 0776   562  18.893   1.249         
 0777   562  18.894   2.170         
 0778   562  18.894   1.351         
 0779   562  18.897   1.375   0.561
 0780   562  18.900   1.075         
 0781   562  18.902   1.452         
 0782   562  18.902   1.204         
 0783   562  18.904   1.328         
 0784   562  18.904   1.198         
 0785   562  18.905   1.346         
 0787   562  18.911   1.214         
 0788   562  18.916   1.919         
 0789   562  18.917   0.948         
 0790   562  18.919   1.208         
 0791   562  18.923   1.335         
 0792   562  18.924   2.248         
 0793   562  18.931   2.055         
 0794   562  18.931   1.298         
 0795   562  18.932   0.997         
 0796   562  18.934   1.318         
 0798   562  18.937   1.210         
 0799   562  18.938   1.358         
 0800   562  18.941   1.567         
 0801   562  18.941   1.449         
 0802   562  18.941   1.295         
 0803   562  18.946   2.702         
 0804   562  18.954   1.090         
 0806   562  18.956   1.183         
 0807   562  18.956   1.633         
 0808   562  18.957   1.191         
 0809   562  18.957   2.053         
 0810   562  18.959   1.246         
 0812   562  18.961   1.220         
 0813   562  18.962   1.945         
 0815   562  18.963   1.309         
 0816   562  18.963   1.100         
 0817   562  18.964   1.369         
 0818   562  18.965   1.284         
 0819   562  18.968   1.718         
 0820   562  18.970   1.280         
 0821   562  18.970   1.393         
 0822   562  18.973   1.348         
 0823   562  18.977   1.702         
 0824   562  18.980   1.500         
 0825   562  18.981   1.550         
 0826   562  18.984   1.207         
 0827   562  18.989   1.799         
 0828   562  18.990   1.207         
 0829   562  18.991   1.310         
 0830   562  18.992   1.422         
 0832   562  18.998   1.163         
 0833   562  18.999   2.152         
 0834   562  19.000   1.059         
 0835   562  19.001   1.071         
 0836   562  19.003   1.623         
 0838   562  19.005   1.725         
 0839   562  19.012   1.269         
 0840   562  19.013   1.587         
 0842   562  19.021   1.558         
 0843   562  19.022   1.314         
 0844   562  19.023   1.461         
 0845   562  19.025   1.295         
 0847   562  19.026   1.557         
 0848   562  19.028   1.291         
 0849   562  19.030   1.308         
 0850   562  19.035   1.179         
 0851   562  19.038   1.133         
 0852   562  19.039   1.324         
 0853   562  19.042   1.688         
 0854   562  19.046   1.458         
 0855   562  19.047   1.265         
 0856   562  19.048   1.355         
 0857   562  19.054   1.207         
 0858   562  19.056   1.186         
 0859   562  19.058   1.244         
 0860   562  19.059   1.267         
 0861   562  19.065   1.483         
 0862   562  19.067   1.669         
 0863   562  19.069   2.288         
 0864   562  19.079   1.339         
 0865   562  19.079   1.773         
 0866   562  19.081   1.362         
 0868   562  19.084   1.252         
 0869   562  19.085   1.050         
 0870   562  19.088   1.831         
 0871   562  19.089   1.444         
 0872   562  19.090   1.263         
 0873   562  19.095   1.343         
 0874   562  19.097   1.142         
 0875   562  19.098   1.317         
 0876   562  19.103   1.678         
 0877   562  19.104   1.376         
 0878   562  19.106   1.462         
 0879   562  19.109   1.471         
 0881   562  19.118   1.350         
 0882   562  19.122   1.250         
 0883   562  19.126   1.879         
 0884   562  19.127   1.328         
 0885   562  19.127   1.412         
 0886   562  19.129   1.606         
 0887   562  19.130   1.747         
 0888   562  19.139   1.301         
 0889   562  19.139   0.970         
 0890   562  19.142   1.434         
 0891   562  19.143   1.405         
 0892   562  19.143   1.892         
 0893   562  19.155   1.763         
 0894   562  19.155   0.954         
 0895   562  19.156   1.144         
 0896   562  19.157   1.273         
 0897   562  19.157   1.374         
 0899   562  19.164   2.181         
 0900   562  19.165   1.410         
 0901   562  19.168   1.788         
 0903   562  19.175   1.295         
 0905   562  19.177   1.221         
 0906   562  19.178   1.101         
 0907   562  19.180   1.392         
