,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,mem_prob
1018,103.00929542282,2.84293748359,0.599,0.5813,0.8127636209875703
1024,103.01414216446,2.87498348851,0.3055,0.2931,0.9784369571394754
1025,103.04134627253,2.8816627921,0.0435,0.0417,1.0
1026,103.0269509304,2.86979979418,0.0457,0.0436,1.0
1027,103.01989308402,2.87429376035,0.2006,0.1921,0.9282166971763095
1031,103.01314309709,2.87210691914,0.4253,0.4273,0.7019491764297725
1032,103.04304098202,2.87127159842,0.485,0.4778,0.7610355011271063
1033,103.03636683022,2.86105920797,0.1672,0.1628,0.7844985329529784
1034,103.01545247915,2.86894682583,0.4845,0.4763,0.8743258797013557
1043,103.02914464798,2.88776853529,0.0614,0.0579,0.7619879996535496
1045,103.04575078294,2.87083221721,0.0822,0.08,0.8474742483957025
1047,102.98870808219,2.88801761338,0.1885,0.1777,0.987534278627663
1052,102.9853043597,2.87339995309,0.1618,0.1531,1.0
1054,102.98771146174,2.86767645318,0.0897,0.0894,0.7547706003979031
1057,102.98458579424,2.88023560332,0.0476,0.0446,1.0
1069,102.98823455653,2.86801087242,0.3477,0.3301,0.7915126226798338
1072,102.9880634309,2.88407261467,0.1468,0.1381,0.888171960535597
1074,102.99514428172,2.8990578627,0.2971,0.2848,0.9234358263571445
1081,103.01856781827,2.8830431626,0.2398,0.2198,1.0
1082,103.01167100016,2.88213112405,0.0803,0.0772,1.0
1084,103.01780227915,2.89841565065,0.3773,0.3957,0.7050315899679404
1085,103.01206139174,2.89746264023,0.1301,0.1245,0.9294199448420105
1088,103.00567564698,2.90284092693,0.2658,0.2306,0.7801817588825696
1089,103.0056584304,2.90089192186,0.1588,0.1488,1.0
1090,103.00702119174,2.90985957037,0.1822,0.1731,0.7870743903051206
1091,103.02060642133,2.8924992888,0.0464,0.0441,1.0
1095,103.00127339348,2.88833261465,0.1865,0.1766,1.0
1100,103.00555036294,2.87827954316,0.0449,0.0427,0.8658754870370139
1102,103.02513349593,2.89021026808,0.0705,0.0636,0.9855531373884736
1103,103.02286543946,2.89723446678,0.1032,0.0993,1.0
1104,103.02789192982,2.8932630186,0.0364,0.0348,1.0
1106,103.02123866672,2.89746611299,0.0737,0.07,0.7150498194994784
1109,103.01051129019,2.89820216294,0.1837,0.1755,0.7557026401091232
1118,103.04963933074,2.90027149963,0.1759,0.1674,1.0
1119,103.04481208395,2.89852133922,0.185,0.1776,1.0
1123,103.03455361694,2.89610649666,0.1048,0.0952,1.0
1124,103.06391649991,2.89424610562,0.2847,0.2599,0.8410814123750417
1125,103.0321305913,2.89304141084,0.0702,0.063,1.0
1127,103.06162652532,2.89309940943,0.1556,0.1416,0.8835446879679784
1131,103.05198450448,2.9081445818,0.0387,0.0344,1.0
1132,103.06315805205,2.89043852427,0.1402,0.1377,0.9504389530131705
1133,103.04241914219,2.88204604731,0.1275,0.1237,0.7597905050428903
1136,103.03782106936,2.88567453177,0.0343,0.0326,0.8701203733225081
1139,103.06073606448,2.90924915601,0.0639,0.0619,1.0
1161,103.07706039694,2.9184843491,0.1324,0.1256,1.0
1169,103.02721241382,2.91732278905,0.0569,0.0529,1.0
1173,103.03206645453,2.92311392559,0.0679,0.0603,1.0
1179,103.02936389635,2.91523950654,0.0302,0.032,1.0
1181,103.02370437294,2.91992870636,0.0463,0.0467,1.0
1182,103.02537343565,2.90203515276,0.0483,0.0464,1.0
1183,103.01403948898,2.90699056406,0.0681,0.0649,0.7482833458908663
1184,103.01485761684,2.90608299244,0.0901,0.0858,1.0
1189,103.02558985622,2.92134278405,0.1547,0.1419,1.0
1190,103.02141460399,2.9131490236,0.1073,0.0988,0.8303327245118861
1192,103.02769313657,2.8999595909,0.566,0.5645,0.7501088196651776
1193,103.01887428479,2.91022753399,0.2052,0.2157,1.0
1194,103.01855604734,2.90464570013,0.3101,0.2977,0.97558711095936
1196,103.02938993618,2.91717471077,0.049,0.0467,1.0
1197,103.02787893669,2.92580041159,0.1841,0.1732,1.0
1199,103.04072845383,2.9054963491,0.0853,0.0818,1.0
1201,103.03478188331,2.91073089349,0.1421,0.1193,0.8256986515467581
1204,103.02390965857,2.90238101122,0.0906,0.0861,1.0
1205,103.02905635909,2.90488962154,0.0473,0.0435,1.0
1210,103.02824110976,2.92363580933,0.109,0.1053,1.0
1213,103.03466501939,2.92089208002,0.0241,0.023,1.0
1216,103.03042340953,2.92336403854,0.0638,0.0567,1.0
1217,103.01802277154,2.91520607444,0.1001,0.0897,1.0
1218,103.02949326049,2.91078924391,0.0667,0.0643,1.0
1221,103.03448147359,2.91354939155,0.0686,0.0663,1.0
1225,103.03493912625,2.91963603895,0.1741,0.1696,1.0
1227,103.04502325158,2.90996449653,0.0746,0.0712,1.0
1228,103.03238683042,2.92509176018,0.0731,0.0635,1.0
1233,103.04151023074,2.91845953092,0.1236,0.1328,1.0
1236,103.0295572037,2.89345798098,0.1152,0.1039,0.8962387340523538
1238,103.03774229096,2.91433222749,0.0553,0.0532,1.0
1241,103.04390432447,2.90659698471,0.1401,0.1344,0.9884982524704586
1243,103.04279454861,2.90498769239,0.2169,0.2085,0.7710717510533712
1246,103.02839786397,2.9275115627,0.2008,0.1901,1.0
1248,103.03838377412,2.9061731507,0.5807,0.5809,1.0
1259,103.04259660591,2.93479216028,0.3202,0.3052,0.7214786409415704
1261,103.05730366372,2.94289535743,0.125,0.1083,1.0
1262,103.05379933768,2.93602570101,0.0753,0.0736,1.0
1264,103.04226501515,2.92760392707,0.0933,0.0887,1.0
1265,103.05970048328,2.92431264844,0.1374,0.1322,0.9788641557997555
1270,103.05991303049,2.9253756194,0.2159,0.2075,0.8687614712435903
1275,103.06308051646,2.92703116556,0.1607,0.1583,1.0
1277,103.05474996799,2.92898972942,0.1305,0.1233,1.0
1278,103.03937467034,2.92881339666,0.0825,0.0726,1.0
1281,103.04318932615,2.9293884616,0.0582,0.0506,1.0
1282,103.04264649397,2.9263208864,0.3581,0.3597,0.9322500425590295
1284,103.03792767787,2.92342308499,0.2543,0.2425,1.0
1291,102.97631472168,2.89945502969,0.077,0.0729,0.8670351917293326
1296,102.95821525113,2.90245797229,0.0318,0.0298,1.0
1299,102.96492233264,2.90721429806,0.2343,0.2172,0.910544225734255
1308,102.9505089981,2.89516565042,0.0483,0.0458,1.0
1311,102.96073394773,2.90758440645,0.2113,0.1964,1.0
1312,102.96089883972,2.89908218024,0.1298,0.1259,0.9536890396155163
1314,102.96862353303,2.90571241946,0.0852,0.0803,0.7732975628330004
1317,102.96838399139,2.91110080578,0.0694,0.0648,1.0
1323,103.00354074257,2.91365883231,0.0967,0.0951,1.0
1324,103.00406876238,2.91207209503,0.0711,0.0676,1.0
1325,102.96888343145,2.9119387154,0.3253,0.3061,0.9044632834510368
1328,102.98863537349,2.91914678501,0.2489,0.2357,0.7082089362485969
1330,102.97776505942,2.91826395841,0.5031,0.4777,0.7711804548439737
1331,102.98255548493,2.91654494628,0.1154,0.11,0.9317816808276413
1333,103.00312310064,2.9109381288,0.2465,0.2347,1.0
1335,102.98265176724,2.90664126272,0.088,0.0828,1.0
1342,102.9937063119,2.90089756958,0.0997,0.0943,0.981901627750479
1344,102.99360828046,2.91774303345,0.1247,0.1166,0.9277242962647201
1345,102.99827592325,2.91152079458,0.0765,0.0726,0.910544225734255
1347,102.94524680409,2.92372891966,0.4554,0.3994,0.7210236257422497
1352,102.95730476026,2.90618038296,0.0734,0.0684,0.8553011360265719
1356,102.93725961867,2.90596142493,0.0513,0.0483,0.9758699721681993
1361,102.94052984428,2.91367423549,0.1203,0.114,1.0
1370,102.94614838417,2.92312633636,0.0963,0.092,0.9578343362668155
1373,102.95513743316,2.92410678021,0.1064,0.1001,1.0
1377,102.9609879187,2.9233824322,0.1701,0.1905,0.7538340625328248
1380,102.97947578084,2.93134755893,0.0972,0.0915,0.6968379196719248
1381,102.95222818831,2.93293837624,0.127,0.1214,1.0
1388,102.94487763324,2.93017402306,0.1821,0.1672,0.8794691982815349
1391,102.96417664221,2.92206086104,0.2026,0.2304,0.7670804009683717
1392,102.95632561081,2.93302410449,0.0739,0.078,0.8253259871544198
1397,103.02368108153,2.92652727915,0.1561,0.1476,0.8140594432888452
1399,102.99069303231,2.9257715643,0.6102,0.5793,0.8843835580986811
1400,103.01849176659,2.93598398033,0.0628,0.0592,1.0
1401,102.99457512473,2.92644351621,0.1007,0.0952,1.0
1402,103.02674844158,2.93074494099,0.2188,0.2062,1.0
1403,103.01660270598,2.92291312304,0.1212,0.1143,1.0
