,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,mem_prob
621,109.21782258991,13.72935864102,0.0523,0.0415,0.7659017961347963
625,109.24157288547,13.74071181188,0.0556,0.0481,0.8582359417127704
657,109.27409456454,13.74828575169,0.0996,0.0889,0.9865034141338288
660,109.25372666223,13.74718277851,0.1571,0.1325,0.6422170287978394
662,109.25995352191,13.74221068958,0.1439,0.1284,0.8629472267542678
664,109.2594131434,13.74054444579,0.071,0.06,0.8768949003646673
680,109.2779978664,13.75607111191,0.5203,0.3951,0.7376927560993841
681,109.25809047825,13.75305653622,0.1614,0.1346,0.7994672829620555
683,109.26934434864,13.75350677192,0.1084,0.0958,0.7437930446957491
688,109.2255371616,13.75866320303,0.0518,0.0439,0.7464310759652693
704,109.23061589531,13.74598480174,0.158,0.135,0.7772359031640397
715,109.24746187617,13.76892049299,0.0933,0.082,1.0
721,109.26489629293,13.76532807103,0.119,0.0941,0.7168038807554763
723,109.24983520293,13.78089823904,0.1343,0.1173,0.9286091705266144
733,109.25448435418,13.75628237016,0.2416,0.1688,0.6320381697538219
756,109.3349297394,13.71084981596,0.1483,0.1309,0.9760424852529531
760,109.33419160588,13.71888257546,0.0311,0.0305,0.988527385015052
767,109.34795485126,13.72308571786,0.1731,0.159,0.9255297857930166
780,109.34102879127,13.74646740442,0.0628,0.0531,0.7095281801338339
795,109.3170266494,13.7394600834,0.1032,0.0965,1.0
798,109.32639093878,13.75215506524,0.3692,0.3195,0.9301903451879967
805,109.31711547884,13.73746158209,0.097,0.0845,0.9855041462811411
811,109.33446141742,13.77649459944,0.1072,0.0977,0.8004634747577902
817,109.31568393055,13.76547034671,0.0783,0.0708,0.9488344395105641
822,109.33938039793,13.77312611729,0.0297,0.0264,0.9408787275683331
824,109.3490246585,13.76486033306,0.0441,0.0393,0.7368112624939399
853,109.39417363303,13.79460745121,0.1393,0.127,0.7996312848271337
855,109.40459557528,13.77699326706,0.3239,0.3071,0.753821836490214
856,109.38606895107,13.78102221959,0.1014,0.0964,1.0
859,109.35216301267,13.79079411784,0.3267,0.2822,1.0
860,109.34199595891,13.78226661246,0.107,0.0954,0.6718375950809073
864,109.34478917585,13.78468304061,0.2311,0.201,1.0
868,109.35105287053,13.77210053393,0.6429,0.5353,0.8939039187200087
879,109.36676874105,13.79801336234,0.2885,0.2553,1.0
895,109.28040888642,13.76344710227,0.0276,0.0235,0.9212511087048593
903,109.30841852132,13.7919100852,0.1348,0.1189,0.9872076274792814
905,109.2977319427,13.78724059105,0.1769,0.151,0.7829005134751722
917,109.30055148781,13.77814620207,0.3272,0.2933,0.7518380377876022
921,109.32170075091,13.77460173429,0.2161,0.187,1.0
926,109.25906166029,13.78258863576,0.3198,0.2609,1.0
931,109.28578043093,13.78041802513,0.1612,0.1292,0.6686860031148021
936,109.26559602692,13.77200333767,0.0636,0.0532,0.8348930848591609
941,109.26999643246,13.80225244306,0.1491,0.1369,0.7387376088997964
942,109.2703307651,13.79832191801,0.2011,0.1793,0.9277724622268989
946,109.28746345417,13.80115660505,0.1654,0.1463,0.6484373217481991
955,109.28768669388,13.81024960771,0.1319,0.1173,0.7772907963589468
958,109.29261860051,13.79082528362,0.1314,0.1178,0.7902714446449425
960,109.30295270314,13.80210141465,0.3767,0.3317,0.7439763131015453
965,109.29362013495,13.82203697166,0.293,0.2546,0.9534043917775824
966,109.28058475976,13.81134171838,0.4827,0.4221,0.8901549662367618
971,109.33064422603,13.81195307856,0.1749,0.1565,0.9088195191980364
977,109.33433430191,13.80963663254,0.1048,0.116,0.7265911659595367
979,109.35624201775,13.80290548816,0.3738,0.4612,0.9339972305076406
983,109.33976820187,13.81809337759,0.1069,0.095,0.7082178695167599
986,109.32639517493,13.81022745842,0.212,0.1704,0.7342350783054062
995,109.34949176699,13.83282670477,0.1901,0.1683,0.933724587253768
1004,109.36075678568,13.82429002412,0.0865,0.0782,0.6636349624075992
1005,109.35923665841,13.83927508119,0.0641,0.0578,1.0
1009,109.31500369473,13.8297794805,0.0435,0.0378,0.6352263257227986
1010,109.31624625927,13.82764256172,0.3214,0.2776,0.6191777649652996
1014,109.32133331599,13.8349891165,0.18,0.1612,1.0
1016,109.31439322714,13.84156789647,0.0616,0.0535,1.0
1020,109.33215388151,13.83363236409,0.4999,0.6041,0.8527317172634524
1023,109.32956962033,13.8438117267,0.1681,0.1491,0.9896272527814732
1029,109.39952370253,13.83719930472,0.2128,0.1897,0.7469554535469819
1038,109.3977667123,13.82482456206,0.2375,0.2147,0.7376927560993841
1050,109.38304688922,13.83847875331,0.7232,0.5719,0.9982062401382898
1053,109.39881392931,13.84883772861,0.3242,0.2835,0.6849954044022657
1055,109.35000254663,13.85486505944,0.0521,0.0463,0.988527385015052
1058,109.35824656307,13.85548190732,0.154,0.1372,0.6742624634324543
1065,109.35144605252,13.85108191977,0.0663,0.0592,1.0
1067,109.38228766937,13.87067820231,0.26,0.2285,0.9639900335588463
1071,109.36265330297,13.88233290246,0.2001,0.1762,0.7986473639649037
1074,109.36288483099,13.88179252108,0.2632,0.2299,0.753821836490214
1077,109.15372880545,13.71835982768,0.3116,0.251,0.640937104644738
1083,109.16397981387,13.72235585626,0.2373,0.2083,0.7640185252779835
1093,109.16643563595,13.73664052341,0.1219,0.1017,0.7372243611549683
1096,109.19375534436,13.74809664809,0.1979,0.1623,0.878371659990444
1100,109.18944228971,13.73675857106,0.217,0.1848,0.6476337477456243
1101,109.17788658392,13.73641291452,0.1771,0.1497,0.8765558394226718
1113,109.14991485021,13.75426264479,0.4228,0.3527,0.7218214226355905
1119,109.13004773747,13.74972526052,0.0463,0.0384,0.7712660221065842
1120,109.14135534088,13.75824294677,0.0712,0.0596,0.7512606765410593
1124,109.13900713615,13.76333390614,0.1698,0.1405,0.736889491518346
1132,109.17156000529,13.76751582106,0.0528,0.0437,0.6788251586027088
1146,109.21696339639,13.76385380288,0.1865,0.1567,0.6294810736573996
1153,109.19270574741,13.76242077946,0.3197,0.2519,0.6859203397624423
1157,109.19593979748,13.77700309472,0.2256,0.1866,0.6652706661135508
1166,109.22021191945,13.76842599341,0.1233,0.1046,0.6725323553972596
1170,109.2343901666,13.79036951454,0.0788,0.0613,0.9756719503262549
1183,109.23158723501,13.78823094935,0.069,0.0537,0.9306143035166816
1186,109.23173734694,13.77608574212,0.0756,0.0644,1.0
1188,109.21917233447,13.79749001422,0.3343,0.2755,0.6269426725641144
1191,109.18160536303,13.78012419556,0.0853,0.0749,1.0
1199,109.20136658718,13.79876785902,0.0907,0.0801,0.9434283196673411
1201,109.20424674782,13.79159896102,0.7798,0.6262,0.9695105961379061
1204,109.21937521288,13.80080614596,0.1172,0.1016,0.6799431557343206
1209,109.20377023623,13.81144583451,0.0854,0.0718,0.6828840404190291
