,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
67,68,499.6253517561835,188.95271268046946,0.5562811133670218,-0.10177158034485659,-0.15620101141132037,49,0.0,804.6634818607008,5.82509226437266,-1.9132570214943194
68,69,319.7366744749007,191.26801340219546,0.6556547042663343,-0.13314399745468067,-0.13332766401145055,49,0.0,788.4520706711221,1.9948435862819,-0.7497721218893207
69,70,532.1359102549155,193.79523361006636,0.6083384891420529,-0.12425037646229874,-0.07949979577014012,49,0.0,790.8992362885419,2.637874867765917,-1.0531354754408515
70,71,184.7190736394154,195.20197635073222,0.5167566801674719,-0.0940971534381333,-0.13988019360777715,49,0.0,798.5474543445919,4.6287305622111,-1.6636547532366806
71,72,262.9698258772233,194.83177993025245,0.5519043795229207,-0.2301440240197184,-0.32178307392959815,49,0.0,1067.3146430558638,61.106565503881576,-4.4652196871825325
72,73,647.5448974582146,198.12026223804074,0.5584780153330814,-0.062459837250271086,-0.12585862246786036,49,0.0,841.7968659174775,13.72734116977119,-2.843966068671441
73,74,151.40851459597738,199.30193344939832,0.5544089018426539,0.019480053069909797,-0.13563007819091244,49,0.0,1337.5750587007778,120.95886960254089,-5.206594298904883
74,75,455.9825536627582,199.20167913202462,0.611170797436144,0.035057971652566224,-0.08073655686192925,49,0.0,793.9396925968111,3.1886781307942003,-1.2590267080518753
75,76,337.98098775678665,199.80106920026756,0.5646861815124444,-0.09895906166413958,-0.17687497123036983,49,0.0,795.7125446056008,3.7724010625784663,-1.441544646275017
76,77,474.86737747476855,204.20554056045742,0.48958996788940284,-0.1708843076839026,-0.008088582798788765,49,0.0,785.5368103797624,1.760708651002999,-0.6142187452136847
77,78,165.15661717334405,205.02178847443972,0.5889246214287546,-0.03504724462771588,-0.1268076495237503,49,0.0,2309.6119230819686,320.9758946763961,-6.266181045170123
78,79,803.4250537545649,208.34437971065202,0.5425952754027324,0.014051227524122438,-0.10205896143972362,49,0.0,933.3881682404386,34.33262088079483,-3.8392673945693714
79,80,693.3158406840396,210.1175536935379,0.5885795742920051,-0.014772485328949606,-0.13094518240083905,49,0.0,809.604423494775,6.654704898324697,-2.0578220038202053
80,81,335.4225734946045,212.68103537586816,0.545421751970452,-0.1094922850322773,-0.14525791057175055,49,0.0,804.0410532991193,5.614166631717894,-1.8732132465038127
81,82,252.1052085634909,213.4998173186553,0.5820588621042208,-0.07398781214537237,-0.06945900357441619,49,0.0,883.1457578335076,21.958743176253837,-3.3540186983661386
82,83,546.8128011232634,220.2449997500165,0.4153199597752419,0.14121066870582102,0.2177833693980795,49,0.0,781.8367422848545,1.0525024056206198,-0.055557742852558815
83,84,115.6640781244512,221.30270830591903,0.5461775628307693,-0.09045677013594838,-0.1481153476430671,49,0.0,856.2603698456504,17.019640942123633,-3.0773759841864563
84,85,229.5858900906551,220.6998404481289,0.4088541713535396,-0.09518796451690194,-0.13495599830075294,49,0.0,786.1567098864017,2.082860650548364,-0.796650538380772
